,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
195733,42.07211991730067,14.532000670037853,0.8917208730888685,128.99236254219642,669.3715195796178
295614,37.83241540435204,10.171488005082745,0.9611082528478011,83.34188771231118,698.1443438732962
134375,44.43865165951714,22.85436316323586,0.9374338557559317,122.18372478706591,688.4817954166479
58739,42.63644898470895,8.662283124262917,0.8911193549220933,98.61519475905986,638.1887270208165
75285,33.37254821860745,2.100328437501767,0.9328866957429204,103.59234675998188,726.0343618187691
305797,30.85073306731678,8.280503387479383,0.9554509558344564,115.45429097934019,774.9768460207404
131419,41.27613362908471,31.674514400178047,0.9243368839185463,93.86750961117964,773.363347843194
317807,36.43342957922464,13.261992567597336,0.9326622108679969,103.68295554843984,726.5754222547615
124606,37.96761331429542,10.475442027398932,0.942235337883911,89.78948925377756,697.7621114479796
87408,34.85369544013352,16.49435855446309,0.9284095653952458,94.18262183081595,757.9594111526087
326367,38.70523520199146,38.51650059728685,0.9192724460570292,100.47020887221566,844.1768979564447
134972,39.06605235899381,41.39016220385321,0.8912311946274163,37.71986375742398,862.4196970854395
141414,41.4646363653123,10.371206501154328,0.9522948193395305,381.5569839165738,657.8235397816193
334275,33.178435997945215,14.358735669017443,0.954960724033956,176.7298125739124,768.4557759433429
330060,30.666317877963753,23.077107544642516,0.9052495986408371,122.04344933620439,833.5997761377805
214532,32.60744452828808,28.791741900319238,0.9323225168911254,156.20614452395046,841.0638430971904
129444,31.26480630802285,16.065072282704904,0.9501731446512279,84.8096040193618,797.2235960025661
233824,32.74668934374135,3.7049796492451192,0.9363859260835088,101.16897242852656,738.1495049713129
98659,30.197607880476113,18.06390007723446,0.9082725811813721,238.95910329238288,817.388067564906
210815,39.09163378531526,15.008714621592953,0.9334333428444922,234.52013971103122,704.106902865929
164375,33.550593352142876,41.863527483455165,0.935128420994443,191.74984538317864,911.9966497470629
191805,37.84232347750299,7.334027789081474,0.942845978434239,164.79792130250246,687.6402284031046
76020,41.789365462201715,2.1193390505001015,0.9075943841482685,205.29544026733294,625.6882220953762
363474,44.483771258037926,41.6284749509773,0.9639186908803494,146.24620737389358,821.5160374698683
322155,34.70719688834408,12.502615558153781,0.9321855418251735,122.7732563765644,743.5127440405856
186859,33.60090127900138,13.371572126150417,0.9286704984623205,152.58911184368702,759.742823798727
325301,31.002414534307956,44.03545500876418,0.889265556271324,146.53385305656388,947.5348741767149
227182,39.413450734831926,9.033509844341175,0.930041339463108,74.95586554294141,675.6395511479328
70455,36.967089159204576,2.9350685414765154,0.9388558107031009,127.63907500539239,684.1325689389865
175387,36.976903287153256,31.49352703428201,0.9250657779877055,86.36679740767404,812.886436324155
